Date	VTI
2017-02-17	121.309998
2017-02-21	122.029999
2017-02-22	121.870003
2017-02-23	121.779999
2017-02-24	121.980003
2017-02-27	122.25
2017-02-28	121.800003
2017-03-01	123.440002
2017-03-02	122.650002
2017-03-03	122.75
2017-03-06	122.269997
2017-03-07	121.879997
2017-03-08	121.540001
2017-03-09	121.599998
2017-03-10	122.040001
2017-03-13	122.129997
2017-03-14	121.690002
2017-03-15	122.790001
2017-03-16	122.639999
2017-03-17	122.57
2017-03-20	122.279999
2017-03-21	120.57
2017-03-22	120.730003
2017-03-23	120.690002
2017-03-24	120.160004
2017-03-27	120.019997
2017-03-28	120.860001
2017-03-29	121.08000200000001
2017-03-30	121.529999
2017-03-31	121.32
2017-04-03	121.019997
2017-04-04	121.08000200000001
2017-04-05	120.589996
2017-04-06	120.970001
2017-04-07	120.879997
2017-04-10	121.029999
2017-04-11	120.989998
2017-04-12	120.370003
2017-04-13	119.550003
2017-04-17	120.589996
2017-04-18	120.33000200000001
2017-04-19	120.230003
2017-04-20	121.220001
2017-04-21	120.83000200000001
2017-04-24	122.110001
2017-04-25	122.870003
2017-04-26	122.900002
2017-04-27	123.019997
2017-04-28	122.610001
2017-05-01	122.93
2017-05-02	122.93
2017-05-03	122.629997
2017-05-04	122.720001
2017-05-05	123.33000200000001
2017-05-08	123.139999
2017-05-09	123.099998
2017-05-10	123.370003
2017-05-11	123.010002
2017-05-12	122.769997
2017-05-15	123.43
2017-05-16	123.360001
2017-05-17	121.139999
2017-05-18	121.5
2017-05-19	122.370003
2017-05-22	123.019997
2017-05-23	123.230003
2017-05-24	123.589996
2017-05-25	124.110001
2017-05-26	124.089996
2017-05-30	123.889999
2017-05-31	123.849998
2017-06-01	125.0
2017-06-02	125.410004
2017-06-05	125.25
2017-06-06	124.93
2017-06-07	125.07
2017-06-08	125.290001
2017-06-09	125.190002
2017-06-12	125.16999799999999
2017-06-13	125.790001
2017-06-14	125.610001
2017-06-15	125.33000200000001
2017-06-16	125.25
2017-06-19	126.269997
2017-06-20	125.410004
2017-06-21	124.690002
2017-06-22	124.739998
2017-06-23	125.050003
2017-06-26	125.139999
2017-06-27	124.110001
2017-06-28	125.279999
2017-06-29	124.279999
2017-06-30	124.449997
2017-07-03	124.75
2017-07-05	124.889999
2017-07-06	123.660004
2017-07-07	124.519997
2017-07-10	124.610001
2017-07-11	124.58000200000001
2017-07-12	125.470001
2017-07-13	125.66999799999999
2017-07-14	126.230003
2017-07-17	126.230003
2017-07-18	126.309998
2017-07-19	127.040001
2017-07-20	127.120003
2017-07-21	126.949997
2017-07-24	126.959999
2017-07-25	127.379997
2017-07-26	127.290001
2017-07-27	127.07
2017-07-28	126.860001
2017-07-31	126.790001
2017-08-01	127.050003
2017-08-02	126.93
2017-08-03	126.639999
2017-08-04	126.910004
2017-08-07	127.160004
2017-08-08	126.809998
2017-08-09	126.66999799999999
2017-08-10	124.809998
2017-08-11	125.040001
2017-08-14	126.32
2017-08-15	126.199997
2017-08-16	126.43
2017-08-17	124.41999799999999
2017-08-18	124.209999
2017-08-21	124.389999
2017-08-22	125.639999
2017-08-23	125.260002
2017-08-24	125.059998
2017-08-25	125.360001
2017-08-28	125.410004
2017-08-29	125.459999
2017-08-30	126.120003
2017-08-31	126.980003
2017-09-01	127.269997
2017-09-05	126.290001
2017-09-06	126.639999
2017-09-07	126.58000200000001
2017-09-08	126.489998
2017-09-11	127.849998
2017-09-12	128.33999599999999
2017-09-13	128.399994
2017-09-14	128.360001
2017-09-15	128.600006
2017-09-18	128.91000400000001
2017-09-19	128.970001
2017-09-20	129.179993
2017-09-21	128.820007
2017-09-22	128.369995
2017-09-25	128.16000400000001
2017-09-26	128.190002
2017-09-27	128.889999
2017-09-28	129.100006
2017-09-29	129.520004
2017-10-02	130.199997
2017-10-03	130.46000700000002
2017-10-04	130.58999599999999
2017-10-05	131.279999
2017-10-06	131.190002
2017-10-09	130.929993
2017-10-10	131.240005
2017-10-11	131.419998
2017-10-12	131.259995
2017-10-13	131.360001
2017-10-16	131.449997
2017-10-17	131.509995
2017-10-18	131.679993
2017-10-19	131.71000700000002
2017-10-20	132.419998
2017-10-23	131.860001
2017-10-24	132.08999599999999
2017-10-25	131.399994
2017-10-26	131.570007
2017-10-27	132.639999
2017-10-30	132.059998
2017-10-31	132.330002
2017-11-01	132.440002
2017-11-02	132.470001
2017-11-03	132.820007
2017-11-06	133.070007
2017-11-07	132.83999599999999
2017-11-08	133.059998
2017-11-09	132.520004
2017-11-10	132.53999299999998
2017-11-13	132.610001
2017-11-14	132.369995
2017-11-15	131.690002
2017-11-16	132.889999
2017-11-17	132.639999
2017-11-20	132.979996
2017-11-21	133.899994
2017-11-22	133.800003
2017-11-24	134.110001
2017-11-27	133.970001
2017-11-28	135.300003
2017-11-29	135.300003
2017-11-30	136.33999599999999
2017-12-01	136.070007
2017-12-04	135.889999
2017-12-05	135.309998
2017-12-06	135.229996
2017-12-07	135.770004
2017-12-08	136.479996
2017-12-11	136.800003
2017-12-12	136.949997
2017-12-13	136.970001
2017-12-14	136.330002
2017-12-15	137.550003
2017-12-18	138.5
2017-12-19	137.940002
2017-12-20	137.929993
2017-12-21	137.570007
2017-12-22	137.520004
2017-12-26	137.41000400000001
2017-12-27	137.46000700000002
2017-12-28	137.759995
2017-12-29	137.25
2018-01-02	138.220001
2018-01-03	139.020004
2018-01-04	139.550003
2018-01-05	140.369995
2018-01-08	140.690002
2018-01-09	140.949997
2018-01-10	140.729996
2018-01-11	141.919998
2018-01-12	142.75
2018-01-16	142.119995
2018-01-17	143.429993
2018-01-18	143.179993
2018-01-19	143.919998
2018-01-22	145.059998
2018-01-23	145.419998
2018-01-24	145.279999
2018-01-25	145.33999599999999
2018-01-26	146.860001
2018-01-29	145.899994
2018-01-30	144.380005
2018-01-31	144.429993
2018-02-01	144.369995
2018-02-02	141.300003
2018-02-05	135.740005
2018-02-06	137.96000700000002
2018-02-07	137.350006
2018-02-08	132.41000400000001
2018-02-09	134.229996
2018-02-12	136.020004
